edge_id,query_lon,query_lat,status,http_code,error_msg,used_radius_m,image_id,thumb_url,captured_at,img_lon,img_lat,nearest_dist_m
3956,-0.22003875145954857,5.555915451246582,ok,200,,300,130358395779746,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9nC68YteB7B7yCtCRbTlLeg3HRqjx8553t_my_fUHtVcp9tlsBzoPZxNGA9bT0v2z-4DvdOHGhHoRjaUVhyZ11JmaDqEpZBlf36824bm1ICEcBHQJsVuMvxiU-tZdOSIB_FawL8ocW-FmUSwxY1A?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=MYr6pgsF_2XY0Aa3tYxlAg&_nc_oc=AdrZDk6CeXihGajs2wwu7Kd1e5MPCH59fRFlnFW3rKiAaRFc_cIZdJhh-INxbFc-GsU&ccb=10-5&oh=00_AfyMGvZiutku20jxT1JOl_7cLm0FxURiY18S6hTiDlGrLw&oe=69EDF1A3&_nc_sid=201bca,1539175042000.0,-0.22045436305556,5.556036215,47.916850502860555
12846,-0.17206449484642827,5.586931063072337,ok,200,,300,784383462466934,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9oiTnaoSiA6rkf8QPxCF1AUXvW5Eal9Xg9bl-0vhDB7_7nGs3SynhhASTdjrkABTxFERz_TE78Cq7Q8gh2gp3_keScY3XmCC77T9LdaJ1F2h_MzgJlyVDo1ZmXj-OXU6-Yv7oo23QOgjHNGvNlXvg?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=jt7PEnwqtpaWo7Q7ql4L9w&_nc_oc=AdrKxmsnsFrV1S3dbQSc48znCJQgrNVEz1tS4LYv3JEQT9H18qTMAB47D6yJW8qyZP4&ccb=10-5&oh=00_Afzh87cybTuwLcaVnXKGyoQRao3Y6uZSl9RhpUhDGkoJkA&oe=69EE1FA2&_nc_sid=201bca,1538673489000.0,-0.17178744055556,5.5869753286111,31.053256620080592
8961,-0.20070454780140204,5.558219548438409,ok,200,,300,1401179430261749,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An_kZ0-IfdpnUwiBCvN1Ia3CQ-aTgArehTl5dEvn52bMPaeAXtX7wN8CD8tco0o17ME6ohK74sE8JclhnPo1GHV-Hvn80M1F5XNeZqw9XeybN9x-YoCxHtceyy-WKRL56Yh801CnI77ILUw7uAH2Res?stp=s1024x576&edm=AOnQwmMEAAAA&_nc_gid=GAZV2qQ7EqLzxojUILNScg&_nc_oc=AdqJwHTcQF3iTeLN3gEe0eg_yN7gfvpddwKRTssupMOVu0DKJwATeK0njfqDITNv8P4&ccb=10-5&oh=00_Afz9WdYR1a1yPmbry8GIVE_udc5YWckGgVizmnaLgMnCbg&oe=69EE21D5&_nc_sid=201bca,1555762800638.0,-0.19974827357238,5.5563667264276,231.61755942273308
10318,-0.1675527512588339,5.566957037338957,ok,200,,300,1826398194466951,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An_mkPxXKDlZ2O1XRRksSXFSWuDCZbJuXklIWKAVnzaINyr8qF7UUC7TEyCq1fyYvzDKs_qkexsdfVOgzEkGy2lIqAG14QRlRxEMCC-BW1iQk2LkZqsaGXAbd0h0aq9AogrFcedOPo6J7EBn25yzwQ?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=Dg5b76CMCkWNVSNcp8yeBA&_nc_oc=Ado4Q8HW1pJwr8bTM-kcVClSAxT4RslphzfzXhs7ZSb8g6_disUKHoaT3incl1nNTfA&ccb=10-5&oh=00_Afzu2m7gpOTfIpMBwVQA3eDB6b2QhBeSHVlWIWkDM3JyBQ&oe=69EE0AF7&_nc_sid=201bca,1695898351903.0,-0.16921089999749,5.5677805280528,205.08504738744998
9599,-0.21198537500552564,5.563587689065132,ok,200,,300,2859186364354669,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An87xZ1wNrco32bFxUBUOgcVWfP_SDXV_miZNRqWQo6NPphJ6CRzZ6Q7aizw4WsuErgkeXLcitN4oqnePYz2uGbNjfzCrrYMQILXsz8Nmi2IpS1gPupt0MwObu-1m2rDgTfdPMDalQ_hbfkbP48SB1s?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=1LUcjJkYCbxplRtTsaiLJw&_nc_oc=Adpm0QJVO7ODpv8z9I3KFawZDXA6pOvrR4rblkv5kFFfmRwr5BNv2wCJi6Kh8Yk5rwg&ccb=10-5&oh=00_AfwvsHYEKZz-erYCN5NeIPPzaus6fBdsyNZ4YeUOtuIZbA&oe=69EE1CB5&_nc_sid=201bca,1520789062289.0,-0.21358036436163,5.5619391705893,254.48093688094124
777,-0.25609052394719434,5.537897908109512,no_image,200,,300,,,,,,
6226,-0.26026243919726777,5.561819556416737,no_image,200,,300,,,,,,
4625,-0.2644951380252681,5.554792312686296,no_image,200,,300,,,,,,
7492,-0.19201819447064558,5.550112300171277,ok,200,,300,1198602987230590,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9LdKbh4tjHrlIqx68ARvb9-VGX0jE2UIzbCcqnXeiISTSz7x_qwfiyOucXa_aB1RTsXo8zSpjMHHY3jqNfjaK1sat5I6jXuSKJOlE3rzEe3zfYAO8DT0ZC9ec3v_dEvaxBdYCR_WamXW2IGK4eiw?stp=s1024x576&edm=AOnQwmMEAAAA&_nc_gid=S0kjg7CZKb6o51bYOTP5vA&_nc_oc=AdoSqdMvEAs-wB7NmgBg7GbIxxfltGvfefvQUA4oQSTurq9zKj-YOImUvzo_1uApRVQ&ccb=10-5&oh=00_AfwqX34kIAdU-tyo5yHsnan4Wyq0Z70x4oOW_5vF8JWHug&oe=69EDFE76&_nc_sid=201bca,1500387083679.0,-0.19341241379311,5.5491797126436,185.91137401153014
11997,-0.1614526249693327,5.573356183929565,ok,200,,300,1275160899984219,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An8YTVsOS7JfaIxSPemHx5RhtXLjY-tahlw1pVllLb7tzgcgYjouyyzsUVHOCH920hZCbpZn4EXFmZ60vYMF_DGvJuS9syfEPEBaiMKBJ-fdzclL24DcO7QSL2A_Mc3otho917QXleKsWUZlyMboMA?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=1HWcf_c_TI2TQUUk6K2kdw&_nc_oc=AdoJtw4MzWYI1ac1PRz73cRK2oJUS89MmhJ01h4mTufqzx01YiYIMCFuUo1pBk85X2M&ccb=10-5&oh=00_AfxMWSUQFexYVc85bh0hVthKo6XLze-n1yz2Xy6aaEjPFw&oe=69EDFECD&_nc_sid=201bca,1659925453692.0,-0.160877,5.572635,102.41562392815258
