fclass,year,quarter,quarter_num,NDVI,BSI,ndvi_qoq_change,bsi_qoq_change
residential,2018,Q2,2,0.37686711225856573,0.09284632341765814,0.12862202960267347,-0.09654938320200243
residential,2018,Q4,4,0.24211781632835744,0.11168307074385679,-0.1347492959302083,0.018836747326198652
residential,2019,Q1,1,0.22923417602062804,0.1665840475518183,-0.0128836403077294,0.05490097680796151
residential,2019,Q2,2,0.266531146087281,0.0959853962809445,0.037296970066652974,-0.0705986512708738
residential,2019,Q3,3,0.21756818466031214,0.015460807349392673,-0.048962961426968876,-0.08052458893155183
residential,2019,Q4,4,0.3099975532835734,0.11026494047618815,0.09242936862326129,0.09480413312679548
residential,2020,Q1,1,0.21652115381589987,0.16221965417554732,-0.09347639946767355,0.05195471369935917
residential,2020,Q2,2,0.2638196933628643,0.10605572217980641,0.047298539546964447,-0.05616393199574091
residential,2020,Q3,3,0.2848352698407021,0.08894447707689966,0.021015576477837805,-0.01711124510290675
residential,2020,Q4,4,0.2767467222603096,0.10390768967209006,-0.008088547580392513,0.0149632125951904
residential,2021,Q1,1,0.20672466804508288,0.13205250879816288,-0.07002205421522673,0.02814481912607282
residential,2021,Q2,2,0.23858261766725608,0.11402660018297214,0.0318579496221732,-0.01802590861519074
residential,2021,Q3,3,0.26873900857683103,0.045413478280176,0.03015639090957495,-0.06861312190279614
residential,2021,Q4,4,0.2837784672473239,0.11971266594946992,0.015039458670492889,0.07429918766929391
residential,2022,Q1,1,0.21283449966159973,0.17793138636101893,-0.07094396758572419,0.05821872041154902
residential,2022,Q2,2,0.3100044532259983,0.08959858882255138,0.09716995356439856,-0.08833279753846755
residential,2022,Q3,3,0.34070915115336664,0.034317297143690306,0.030704697927368352,-0.055281291678861075
residential,2022,Q4,4,0.2944951641284078,0.12478325817636163,-0.046213987024958825,0.09046596103267132
residential,2023,Q1,1,0.22057940525600714,0.15801752412184766,-0.07391575887240068,0.033234265945486036
residential,2023,Q2,2,0.285083921350174,0.08846910291792666,0.06450451609416688,-0.069548421203921
residential,2023,Q3,3,0.3667510118064422,-0.0010781945862770623,0.08166709045626819,-0.08954729750420372
residential,2023,Q4,4,0.2934961898913941,0.12374977035662199,-0.07325482191504812,0.12482796494289905
secondary,2017,Q1,1,0.2276309651151236,0.19148021129834028,,
secondary,2017,Q4,4,0.2080490456345953,0.16193737640743808,-0.019581919480528287,-0.029542834890902203
secondary,2018,Q1,1,0.2012741174704694,0.2104647634533627,-0.006774928164125921,0.04852738704592463
secondary,2018,Q2,2,0.38762402639784793,0.08713211006108439,0.18634990892737854,-0.12333265339227832
secondary,2018,Q4,4,0.19387420514769152,0.09704006644418336,-0.1937498212501564,0.009907956383098979
